variable,units,mean,stdev,n,group,month,year,county,station,depth
Dissolved Oxygen,mg/L,8.983,1.466,23808,all_month,8,NA,NA,NA,NA
Dissolved Oxygen,percent saturation,108.443,7.945,242421,all_month,8,NA,NA,NA,NA
Salinity,practical salinity units,26.958,4.619,46640,all_month,8,NA,NA,NA,NA
Temperature,degrees Celsius,13.578,5.002,2159778,all_month,8,NA,NA,NA,NA
Dissolved Oxygen,mg/L,7.635,0.994,23040,all_month,9,NA,NA,NA,NA
Dissolved Oxygen,percent saturation,103.824,7.133,303021,all_month,9,NA,NA,NA,NA
Salinity,practical salinity units,24.984,3.962,74414,all_month,9,NA,NA,NA,NA
Temperature,degrees Celsius,14.903,3.602,2089663,all_month,9,NA,NA,NA,NA
Dissolved Oxygen,mg/L,7.414,1.085,18366,all_month,10,NA,NA,NA,NA
Dissolved Oxygen,percent saturation,101.599,6.536,378098,all_month,10,NA,NA,NA,NA
Salinity,practical salinity units,24.184,3.719,84717,all_month,10,NA,NA,NA,NA
Temperature,degrees Celsius,12.66,2.875,2219055,all_month,10,NA,NA,NA,NA
Dissolved Oxygen,mg/L,8.749,0.837,22128,all_month,11,NA,NA,NA,NA
Dissolved Oxygen,percent saturation,100.741,6.037,382431,all_month,11,NA,NA,NA,NA
Salinity,practical salinity units,23.394,3.515,81989,all_month,11,NA,NA,NA,NA
Temperature,degrees Celsius,9.03,2.118,2051835,all_month,11,NA,NA,NA,NA
Dissolved Oxygen,mg/L,9.539,0.372,35712,all_month,12,NA,NA,NA,NA
Dissolved Oxygen,percent saturation,100.378,5.553,359866,all_month,12,NA,NA,NA,NA
Salinity,practical salinity units,23.384,4.26,45217,all_month,12,NA,NA,NA,NA
Temperature,degrees Celsius,5.649,1.907,1844804,all_month,12,NA,NA,NA,NA
Temperature,degrees Celsius,17.321,0.874,6384,all_month_year,9,2015,NA,NA,NA
Temperature,degrees Celsius,13.689,1.771,8928,all_month_year,10,2015,NA,NA,NA
Temperature,degrees Celsius,9.034,1.333,7108,all_month_year,11,2015,NA,NA,NA
Temperature,degrees Celsius,5.321,0.973,11160,all_month_year,12,2015,NA,NA,NA
Temperature,degrees Celsius,2.821,1.092,12648,all_month_year,1,2016,NA,NA,NA
Temperature,degrees Celsius,1.925,1.097,16098,all_month_year,2,2016,NA,NA,NA
Temperature,degrees Celsius,2.255,1.258,20088,all_month_year,3,2016,NA,NA,NA
Temperature,degrees Celsius,3.63,2.061,19440,all_month_year,4,2016,NA,NA,NA
Temperature,degrees Celsius,6.714,2.879,19597,all_month_year,5,2016,NA,NA,NA
Temperature,degrees Celsius,10.784,3.253,25481,all_month_year,6,2016,NA,NA,NA
Temperature,degrees Celsius,14.652,3.946,28272,all_month_year,7,2016,NA,NA,NA
Temperature,degrees Celsius,17.357,3.21,27195,all_month_year,8,2016,NA,NA,NA
Temperature,degrees Celsius,16.764,1.98,27684,all_month_year,9,2016,NA,NA,NA
Temperature,degrees Celsius,13.647,1.751,31000,all_month_year,10,2016,NA,NA,NA
Temperature,degrees Celsius,9.531,1.017,28020,all_month_year,11,2016,NA,NA,NA
Temperature,degrees Celsius,4.712,1.974,29016,all_month_year,12,2016,NA,NA,NA
Temperature,degrees Celsius,2.132,0.749,29016,all_month_year,1,2017,NA,NA,NA
Temperature,degrees Celsius,0.679,0.927,26208,all_month_year,2,2017,NA,NA,NA
Temperature,degrees Celsius,0.339,0.734,29016,all_month_year,3,2017,NA,NA,NA
Temperature,degrees Celsius,2.266,1.928,28080,all_month_year,4,2017,NA,NA,NA
Temperature,degrees Celsius,5.775,2.254,29016,all_month_year,5,2017,NA,NA,NA
Temperature,degrees Celsius,10.015,3.133,28080,all_month_year,6,2017,NA,NA,NA
Temperature,degrees Celsius,15.814,3.376,32526,all_month_year,7,2017,NA,NA,NA
Temperature,degrees Celsius,19.509,2.661,52762,all_month_year,8,2017,NA,NA,NA
Temperature,degrees Celsius,18.076,1.635,50915,all_month_year,9,2017,NA,NA,NA
Temperature,degrees Celsius,14.719,1.652,51906,all_month_year,10,2017,NA,NA,NA
Temperature,degrees Celsius,9.744,2.474,36563,all_month_year,11,2017,NA,NA,NA
Temperature,degrees Celsius,5.178,2.046,30124,all_month_year,12,2017,NA,NA,NA
Temperature,degrees Celsius,0.81,0.84,29016,all_month_year,1,2018,NA,NA,NA
Dissolved Oxygen,percent saturation,101.727,2.615,166387,all_month_year,2,2018,NA,NA,NA
Temperature,degrees Celsius,1.705,1.006,221769,all_month_year,2,2018,NA,NA,NA
Dissolved Oxygen,percent saturation,102.632,3.348,352585,all_month_year,3,2018,NA,NA,NA
Temperature,degrees Celsius,2.063,0.862,551385,all_month_year,3,2018,NA,NA,NA
Dissolved Oxygen,percent saturation,105.962,3.116,180091,all_month_year,4,2018,NA,NA,NA
Temperature,degrees Celsius,3.385,1.194,495748,all_month_year,4,2018,NA,NA,NA
Dissolved Oxygen,percent saturation,107.008,4.465,119565,all_month_year,5,2018,NA,NA,NA
Temperature,degrees Celsius,5.824,2.095,434257,all_month_year,5,2018,NA,NA,NA
Dissolved Oxygen,percent saturation,109.077,4.361,93276,all_month_year,6,2018,NA,NA,NA
Temperature,degrees Celsius,7.97,2.745,470160,all_month_year,6,2018,NA,NA,NA
Dissolved Oxygen,percent saturation,111.45,5.312,85676,all_month_year,7,2018,NA,NA,NA
Temperature,degrees Celsius,10.249,4.417,467054,all_month_year,7,2018,NA,NA,NA
Dissolved Oxygen,percent saturation,110.281,5.835,96408,all_month_year,8,2018,NA,NA,NA
Temperature,degrees Celsius,12.633,5.335,492717,all_month_year,8,2018,NA,NA,NA
Dissolved Oxygen,percent saturation,105.945,3.664,90759,all_month_year,9,2018,NA,NA,NA
Temperature,degrees Celsius,16.077,3.151,431188,all_month_year,9,2018,NA,NA,NA
Dissolved Oxygen,percent saturation,103.254,4.244,109723,all_month_year,10,2018,NA,NA,NA
Temperature,degrees Celsius,12.175,3.582,428909,all_month_year,10,2018,NA,NA,NA
Dissolved Oxygen,percent saturation,102.723,4.6,107760,all_month_year,11,2018,NA,NA,NA
Temperature,degrees Celsius,7.109,1.914,429736,all_month_year,11,2018,NA,NA,NA
Dissolved Oxygen,percent saturation,101.721,3.397,73207,all_month_year,12,2018,NA,NA,NA
Temperature,degrees Celsius,3.666,1.148,376434,all_month_year,12,2018,NA,NA,NA
Dissolved Oxygen,percent saturation,101.255,3.405,49692,all_month_year,1,2019,NA,NA,NA
Temperature,degrees Celsius,1.236,0.958,381762,all_month_year,1,2019,NA,NA,NA
Dissolved Oxygen,percent saturation,99.395,3.22,45429,all_month_year,2,2019,NA,NA,NA
Salinity,practical salinity units,31.066,0.221,13330,all_month_year,2,2019,NA,NA,NA
Temperature,degrees Celsius,0.15,1.323,439149,all_month_year,2,2019,NA,NA,NA
Dissolved Oxygen,percent saturation,104.295,3.813,34994,all_month_year,3,2019,NA,NA,NA
Salinity,practical salinity units,31.113,0.282,17491,all_month_year,3,2019,NA,NA,NA
Temperature,degrees Celsius,-0.317,1.196,499508,all_month_year,3,2019,NA,NA,NA
Dissolved Oxygen,percent saturation,107.004,3.999,20402,all_month_year,4,2019,NA,NA,NA
Salinity,practical salinity units,30.824,0.414,5004,all_month_year,4,2019,NA,NA,NA
Temperature,degrees Celsius,1.213,1.359,579991,all_month_year,4,2019,NA,NA,NA
Dissolved Oxygen,percent saturation,108.122,4.037,34028,all_month_year,5,2019,NA,NA,NA
Salinity,practical salinity units,31.008,0.314,8474,all_month_year,5,2019,NA,NA,NA
Temperature,degrees Celsius,3.831,1.807,454486,all_month_year,5,2019,NA,NA,NA
Dissolved Oxygen,percent saturation,109.76,4.656,37803,all_month_year,6,2019,NA,NA,NA
Salinity,practical salinity units,30.321,0.557,8451,all_month_year,6,2019,NA,NA,NA
Temperature,degrees Celsius,6.492,2.587,465394,all_month_year,6,2019,NA,NA,NA
Dissolved Oxygen,percent saturation,111.362,4.316,41540,all_month_year,7,2019,NA,NA,NA
Salinity,practical salinity units,30.003,0.418,6025,all_month_year,7,2019,NA,NA,NA
Temperature,degrees Celsius,10.837,3.459,451204,all_month_year,7,2019,NA,NA,NA
Dissolved Oxygen,percent saturation,110.663,5.235,37214,all_month_year,8,2019,NA,NA,NA
Salinity,practical salinity units,27.607,2.177,4370,all_month_year,8,2019,NA,NA,NA
Temperature,degrees Celsius,13.648,4.349,364352,all_month_year,8,2019,NA,NA,NA
Dissolved Oxygen,percent saturation,105.531,5.221,50916,all_month_year,9,2019,NA,NA,NA
Salinity,practical salinity units,21.047,1.443,4229,all_month_year,9,2019,NA,NA,NA
Temperature,degrees Celsius,13.938,2.887,346260,all_month_year,9,2019,NA,NA,NA
Dissolved Oxygen,percent saturation,104.403,5.488,67407,all_month_year,10,2019,NA,NA,NA
Salinity,practical salinity units,17.364,0.88,4370,all_month_year,10,2019,NA,NA,NA
Temperature,degrees Celsius,11.719,0.859,423107,all_month_year,10,2019,NA,NA,NA
Dissolved Oxygen,percent saturation,102.07,5.979,73387,all_month_year,11,2019,NA,NA,NA
Salinity,practical salinity units,17.744,0.563,4229,all_month_year,11,2019,NA,NA,NA
Temperature,degrees Celsius,8.905,1.414,396778,all_month_year,11,2019,NA,NA,NA
Dissolved Oxygen,percent saturation,102.41,4.609,79245,all_month_year,12,2019,NA,NA,NA
Salinity,practical salinity units,18.11,0.571,4370,all_month_year,12,2019,NA,NA,NA
Temperature,degrees Celsius,5.435,1.433,368923,all_month_year,12,2019,NA,NA,NA
Dissolved Oxygen,percent saturation,104.301,4.744,68438,all_month_year,1,2020,NA,NA,NA
Salinity,practical salinity units,18.449,0.257,4370,all_month_year,1,2020,NA,NA,NA
Temperature,degrees Celsius,2.425,1.407,348513,all_month_year,1,2020,NA,NA,NA
Dissolved Oxygen,percent saturation,105.827,5.51,42965,all_month_year,2,2020,NA,NA,NA
Salinity,practical salinity units,18.968,0.23,3345,all_month_year,2,2020,NA,NA,NA
Temperature,degrees Celsius,0.899,1.134,372201,all_month_year,2,2020,NA,NA,NA
Dissolved Oxygen,percent saturation,106.632,5.379,57325,all_month_year,3,2020,NA,NA,NA
Temperature,degrees Celsius,0.945,1.273,511892,all_month_year,3,2020,NA,NA,NA
Dissolved Oxygen,percent saturation,108.401,6.389,38692,all_month_year,4,2020,NA,NA,NA
Temperature,degrees Celsius,2.024,1.395,387949,all_month_year,4,2020,NA,NA,NA
Dissolved Oxygen,percent saturation,105.836,6.324,31066,all_month_year,5,2020,NA,NA,NA
Salinity,practical salinity units,31.528,0.149,1622,all_month_year,5,2020,NA,NA,NA
Temperature,degrees Celsius,3.932,1.824,396577,all_month_year,5,2020,NA,NA,NA
Dissolved Oxygen,percent saturation,107.629,7.027,35550,all_month_year,6,2020,NA,NA,NA
Salinity,practical salinity units,31.527,0.547,7580,all_month_year,6,2020,NA,NA,NA
Temperature,degrees Celsius,7.222,3.385,398943,all_month_year,6,2020,NA,NA,NA
Dissolved Oxygen,percent saturation,108.208,7.23,46678,all_month_year,7,2020,NA,NA,NA
Salinity,practical salinity units,31.064,1.053,13391,all_month_year,7,2020,NA,NA,NA
Temperature,degrees Celsius,11.428,4.188,467023,all_month_year,7,2020,NA,NA,NA
Dissolved Oxygen,percent saturation,108.71,7.914,50975,all_month_year,8,2020,NA,NA,NA
Salinity,practical salinity units,30.166,1.13,11022,all_month_year,8,2020,NA,NA,NA
Temperature,degrees Celsius,12.936,4.604,493818,all_month_year,8,2020,NA,NA,NA
Dissolved Oxygen,percent saturation,104.828,6.284,79086,all_month_year,9,2020,NA,NA,NA
Salinity,practical salinity units,24.191,2.214,40684,all_month_year,9,2020,NA,NA,NA
Temperature,degrees Celsius,13.894,3.709,565008,all_month_year,9,2020,NA,NA,NA
Dissolved Oxygen,percent saturation,101.803,5.547,106646,all_month_year,10,2020,NA,NA,NA
Salinity,practical salinity units,22.722,1.959,58033,all_month_year,10,2020,NA,NA,NA
Temperature,degrees Celsius,11.724,3.27,643015,all_month_year,10,2020,NA,NA,NA
Dissolved Oxygen,mg/L,9.199,0.139,12549,all_month_year,11,2020,NA,NA,NA
Dissolved Oxygen,percent saturation,100.783,4.146,111806,all_month_year,11,2020,NA,NA,NA
Salinity,practical salinity units,21.997,1.784,56160,all_month_year,11,2020,NA,NA,NA
Temperature,degrees Celsius,9.068,1.775,631178,all_month_year,11,2020,NA,NA,NA
Dissolved Oxygen,mg/L,9.515,0.268,17856,all_month_year,12,2020,NA,NA,NA
Dissolved Oxygen,percent saturation,100.9,4.754,110901,all_month_year,12,2020,NA,NA,NA
Salinity,practical salinity units,21.213,3.183,18527,all_month_year,12,2020,NA,NA,NA
Temperature,degrees Celsius,6.767,1.423,521304,all_month_year,12,2020,NA,NA,NA
Dissolved Oxygen,mg/L,10.095,0.254,17856,all_month_year,1,2021,NA,NA,NA
Dissolved Oxygen,percent saturation,102.986,3.253,100352,all_month_year,1,2021,NA,NA,NA
Salinity,practical salinity units,20.707,3.775,13392,all_month_year,1,2021,NA,NA,NA
Temperature,degrees Celsius,4.029,1.348,504881,all_month_year,1,2021,NA,NA,NA
Dissolved Oxygen,mg/L,10.621,0.471,12289,all_month_year,2,2021,NA,NA,NA
Dissolved Oxygen,percent saturation,104.377,3.558,83328,all_month_year,2,2021,NA,NA,NA
Salinity,practical salinity units,20.064,3.854,12096,all_month_year,2,2021,NA,NA,NA
Temperature,degrees Celsius,2.136,1.212,451478,all_month_year,2,2021,NA,NA,NA
Dissolved Oxygen,mg/L,10.918,0.666,11904,all_month_year,3,2021,NA,NA,NA
Dissolved Oxygen,percent saturation,105.39,4.736,60053,all_month_year,3,2021,NA,NA,NA
Salinity,practical salinity units,21.839,6.121,15596,all_month_year,3,2021,NA,NA,NA
Temperature,degrees Celsius,1.95,1.396,497786,all_month_year,3,2021,NA,NA,NA
Dissolved Oxygen,mg/L,10.883,0.543,9696,all_month_year,4,2021,NA,NA,NA
Dissolved Oxygen,percent saturation,105.599,8.215,24275,all_month_year,4,2021,NA,NA,NA
Salinity,practical salinity units,22.408,7.034,17279,all_month_year,4,2021,NA,NA,NA
Temperature,degrees Celsius,3.944,1.749,483438,all_month_year,4,2021,NA,NA,NA
Dissolved Oxygen,mg/L,10.281,0.256,10182,all_month_year,5,2021,NA,NA,NA
Dissolved Oxygen,percent saturation,103.461,9.148,18979,all_month_year,5,2021,NA,NA,NA
Salinity,practical salinity units,22.892,7.31,20342,all_month_year,5,2021,NA,NA,NA
Temperature,degrees Celsius,6.155,2.447,483472,all_month_year,5,2021,NA,NA,NA
Dissolved Oxygen,mg/L,10.287,0.415,7407,all_month_year,6,2021,NA,NA,NA
Dissolved Oxygen,percent saturation,104.044,8.007,21894,all_month_year,6,2021,NA,NA,NA
Salinity,practical salinity units,22.252,6.933,20712,all_month_year,6,2021,NA,NA,NA
Temperature,degrees Celsius,8.928,3.997,460278,all_month_year,6,2021,NA,NA,NA
Dissolved Oxygen,mg/L,9.147,0.509,5952,all_month_year,7,2021,NA,NA,NA
Dissolved Oxygen,percent saturation,101.96,8.29,37940,all_month_year,7,2021,NA,NA,NA
Salinity,practical salinity units,26.801,6.136,22021,all_month_year,7,2021,NA,NA,NA
Temperature,degrees Celsius,12.583,3.912,482531,all_month_year,7,2021,NA,NA,NA
Dissolved Oxygen,mg/L,9.01,0.672,5952,all_month_year,8,2021,NA,NA,NA
Dissolved Oxygen,percent saturation,102.919,10.307,51679,all_month_year,8,2021,NA,NA,NA
Salinity,practical salinity units,26.061,5.424,22320,all_month_year,8,2021,NA,NA,NA
Temperature,degrees Celsius,13.895,4.422,504332,all_month_year,8,2021,NA,NA,NA
Dissolved Oxygen,mg/L,7.994,0.655,5760,all_month_year,9,2021,NA,NA,NA
Dissolved Oxygen,percent saturation,99.459,9.54,82260,all_month_year,9,2021,NA,NA,NA
Salinity,practical salinity units,26.891,5.406,23691,all_month_year,9,2021,NA,NA,NA
Temperature,degrees Celsius,14.928,3.62,510927,all_month_year,9,2021,NA,NA,NA
Dissolved Oxygen,mg/L,7.518,0.347,510,all_month_year,10,2021,NA,NA,NA
Dissolved Oxygen,percent saturation,97.441,8.236,94322,all_month_year,10,2021,NA,NA,NA
Salinity,practical salinity units,29.322,1.148,22314,all_month_year,10,2021,NA,NA,NA
Temperature,degrees Celsius,14.387,2.026,522010,all_month_year,10,2021,NA,NA,NA
Dissolved Oxygen,mg/L,8.999,0.207,3489,all_month_year,11,2021,NA,NA,NA
Dissolved Oxygen,percent saturation,97.213,7.8,89478,all_month_year,11,2021,NA,NA,NA
Salinity,practical salinity units,28.13,2.195,21600,all_month_year,11,2021,NA,NA,NA
Temperature,degrees Celsius,10.493,1.784,491102,all_month_year,11,2021,NA,NA,NA
Dissolved Oxygen,mg/L,9.564,0.451,17856,all_month_year,12,2021,NA,NA,NA
Dissolved Oxygen,percent saturation,97.09,6.85,96513,all_month_year,12,2021,NA,NA,NA
Salinity,practical salinity units,26.218,3.303,22320,all_month_year,12,2021,NA,NA,NA
Temperature,degrees Celsius,6.214,1.885,507843,all_month_year,12,2021,NA,NA,NA
Dissolved Oxygen,mg/L,10.506,0.367,17469,all_month_year,1,2022,NA,NA,NA
Dissolved Oxygen,percent saturation,99.134,5.831,90154,all_month_year,1,2022,NA,NA,NA
Salinity,practical salinity units,25.236,3.574,22320,all_month_year,1,2022,NA,NA,NA
Temperature,degrees Celsius,3.018,1.643,500579,all_month_year,1,2022,NA,NA,NA
Dissolved Oxygen,mg/L,11.055,0.291,15376,all_month_year,2,2022,NA,NA,NA
Dissolved Oxygen,percent saturation,100.523,7.397,80957,all_month_year,2,2022,NA,NA,NA
Salinity,practical salinity units,24.654,3.564,20159,all_month_year,2,2022,NA,NA,NA
Temperature,degrees Celsius,1.875,1.081,448233,all_month_year,2,2022,NA,NA,NA
Dissolved Oxygen,mg/L,11.085,0.408,7803,all_month_year,3,2022,NA,NA,NA
Dissolved Oxygen,percent saturation,101.214,7.508,63390,all_month_year,3,2022,NA,NA,NA
Salinity,practical salinity units,25.224,1.848,22320,all_month_year,3,2022,NA,NA,NA
Temperature,degrees Celsius,2.197,1.423,495679,all_month_year,3,2022,NA,NA,NA
Dissolved Oxygen,percent saturation,103.042,8.492,39253,all_month_year,4,2022,NA,NA,NA
Salinity,practical salinity units,24.946,1.876,18420,all_month_year,4,2022,NA,NA,NA
Temperature,degrees Celsius,3.578,1.871,474159,all_month_year,4,2022,NA,NA,NA
Dissolved Oxygen,mg/L,10.68,0.431,8708,all_month_year,5,2022,NA,NA,NA
Dissolved Oxygen,percent saturation,104.416,11.049,32424,all_month_year,5,2022,NA,NA,NA
Salinity,practical salinity units,24.23,1.772,17852,all_month_year,5,2022,NA,NA,NA
Temperature,degrees Celsius,6.228,2.789,483865,all_month_year,5,2022,NA,NA,NA
Dissolved Oxygen,mg/L,9.811,0.92,17268,all_month_year,6,2022,NA,NA,NA
Dissolved Oxygen,percent saturation,103.585,14.102,22761,all_month_year,6,2022,NA,NA,NA
Salinity,practical salinity units,22.275,3.142,14602,all_month_year,6,2022,NA,NA,NA
Temperature,degrees Celsius,8.684,3.79,410108,all_month_year,6,2022,NA,NA,NA
Dissolved Oxygen,mg/L,9.994,0.874,17854,all_month_year,7,2022,NA,NA,NA
Dissolved Oxygen,percent saturation,83.97,16.085,4739,all_month_year,7,2022,NA,NA,NA
Salinity,practical salinity units,22.504,3.728,8928,all_month_year,7,2022,NA,NA,NA
Temperature,degrees Celsius,9.853,5.184,376339,all_month_year,7,2022,NA,NA,NA
Dissolved Oxygen,mg/L,8.974,1.647,17856,all_month_year,8,2022,NA,NA,NA
Dissolved Oxygen,percent saturation,110.423,5.749,6145,all_month_year,8,2022,NA,NA,NA
Salinity,practical salinity units,24.926,3.868,8928,all_month_year,8,2022,NA,NA,NA
Temperature,degrees Celsius,14.389,6.349,224602,all_month_year,8,2022,NA,NA,NA
Dissolved Oxygen,mg/L,7.515,1.057,17280,all_month_year,9,2022,NA,NA,NA
Salinity,practical salinity units,25.626,3.891,5810,all_month_year,9,2022,NA,NA,NA
Temperature,degrees Celsius,15.935,4.399,151297,all_month_year,9,2022,NA,NA,NA
Dissolved Oxygen,mg/L,7.411,1.099,17856,all_month_year,10,2022,NA,NA,NA
Temperature,degrees Celsius,14.113,1.175,110180,all_month_year,10,2022,NA,NA,NA
Dissolved Oxygen,mg/L,7.678,0.937,6090,all_month_year,11,2022,NA,NA,NA
Temperature,degrees Celsius,11.961,1.566,31350,all_month_year,11,2022,NA,NA,NA
Dissolved Oxygen,percent saturation,111.172,2.794,3926,all_station,NA,NA,Annapolis,1042,NA
Temperature,degrees Celsius,8.421,4.251,5990,all_station,NA,NA,Annapolis,1042,NA
Salinity,practical salinity units,32.113,0.558,5030,all_station,NA,NA,Annapolis,5005,NA
Temperature,degrees Celsius,10.068,1.33,5030,all_station,NA,NA,Annapolis,5005,NA
Temperature,degrees Celsius,11.825,1.686,5024,all_station,NA,NA,Annapolis,5006,NA
Dissolved Oxygen,percent saturation,103.275,3.74,33696,all_station,NA,NA,Annapolis,Cornwallis,NA
Temperature,degrees Celsius,9.289,3.949,62165,all_station,NA,NA,Annapolis,Cornwallis,NA
Dissolved Oxygen,percent saturation,102.757,2.792,26047,all_station,NA,NA,Annapolis,Lobster Ledge,NA
Temperature,degrees Celsius,9.253,3.732,187991,all_station,NA,NA,Annapolis,Lobster Ledge,NA
Temperature,degrees Celsius,9.576,7.595,89814,all_station,NA,NA,Antigonish,Captains Pond,NA
Temperature,degrees Celsius,17.877,4.972,19733,all_station,NA,NA,Antigonish,Ile du Havre,NA
Dissolved Oxygen,percent saturation,96.995,7.17,24192,all_station,NA,NA,Antigonish,Monks Head,NA
Salinity,practical salinity units,25.983,3.191,66483,all_station,NA,NA,Antigonish,Monks Head,NA
Temperature,degrees Celsius,13.222,8.833,146052,all_station,NA,NA,Antigonish,Monks Head,NA
Temperature,degrees Celsius,15.398,6.994,115190,all_station,NA,NA,Antigonish,Southside,NA
Temperature,degrees Celsius,6.966,7.048,14977,all_station,NA,NA,Cape Breton,Little Bras d'Or Channel,NA
Temperature,degrees Celsius,7.931,7.472,14931,all_station,NA,NA,Cape Breton,St. Andrews Channel - E,NA
Dissolved Oxygen,percent saturation,100.563,4.393,59680,all_station,NA,NA,Colchester,Malagash,NA
Temperature,degrees Celsius,7.194,7.382,159059,all_station,NA,NA,Colchester,Malagash,NA
Temperature,degrees Celsius,9.143,4.553,19074,all_station,NA,NA,Digby,1012,NA
Temperature,degrees Celsius,13.67,5.033,26515,all_station,NA,NA,Digby,5007,NA
Salinity,practical salinity units,28.639,4.148,27366,all_station,NA,NA,Digby,5008,NA
Temperature,degrees Celsius,12.803,5.041,27366,all_station,NA,NA,Digby,5008,NA
Dissolved Oxygen,percent saturation,101.787,5.515,32101,all_station,NA,NA,Digby,Centreville,NA
Temperature,degrees Celsius,9.16,6.166,163604,all_station,NA,NA,Digby,Centreville,NA
Temperature,degrees Celsius,4.942,1.66,27190,all_station,NA,NA,Digby,Church Point 1,NA
Temperature,degrees Celsius,5.124,1.769,30358,all_station,NA,NA,Digby,Church Point 2,NA
Dissolved Oxygen,percent saturation,103.223,4.735,70636,all_station,NA,NA,Digby,Long Beach,NA
Temperature,degrees Celsius,8.942,4.168,380598,all_station,NA,NA,Digby,Long Beach,NA
Temperature,degrees Celsius,3.679,1.504,68574,all_station,NA,NA,Digby,Long Island,NA
Dissolved Oxygen,percent saturation,103.435,4.176,19496,all_station,NA,NA,Digby,Long Island 1,NA
Temperature,degrees Celsius,12.117,1.277,74716,all_station,NA,NA,Digby,Long Island 1,NA
Dissolved Oxygen,percent saturation,102.423,6.8,45784,all_station,NA,NA,Digby,Long Island 2,NA
Temperature,degrees Celsius,8.939,3.496,380186,all_station,NA,NA,Digby,Long Island 2,NA
Temperature,degrees Celsius,8.953,4.189,19074,all_station,NA,NA,Digby,Mid Bay,NA
Dissolved Oxygen,percent saturation,101.117,4.239,68742,all_station,NA,NA,Digby,Sandy Cove St. Marys,NA
Temperature,degrees Celsius,9.241,4.997,314815,all_station,NA,NA,Digby,Sandy Cove St. Marys,NA
Temperature,degrees Celsius,6.122,5.473,5897,all_station,NA,NA,Guysborough,0001,NA
Temperature,degrees Celsius,13.396,2.912,1673,all_station,NA,NA,Guysborough,0028,NA
Temperature,degrees Celsius,13.835,2.897,1678,all_station,NA,NA,Guysborough,0622,NA
Temperature,degrees Celsius,9.474,7.104,38336,all_station,NA,NA,Guysborough,1199,NA
Temperature,degrees Celsius,5.286,5.462,40398,all_station,NA,NA,Guysborough,1307,NA
Dissolved Oxygen,percent saturation,96.912,2.116,7044,all_station,NA,NA,Guysborough,Bald Rock,NA
Temperature,degrees Celsius,5.458,5.877,318425,all_station,NA,NA,Guysborough,Bald Rock,NA
Dissolved Oxygen,percent saturation,102.461,3.567,62188,all_station,NA,NA,Guysborough,Barachois,NA
Temperature,degrees Celsius,6.194,6.208,185340,all_station,NA,NA,Guysborough,Barachois,NA
